YEAR,MO,DY,T2M,T2MDEW,T2MWET,T2M_MAX,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,GWETTOP,GWETROOT,GWETPROF
1981,2,1,22.26,6.94,14.61,32.97,24.51,7.14,48.62,0,91.94,2.16,112.31,3.8,108.5,-999,-999,-999,0.31,0.48,0.49
1981,2,2,22.51,8.55,15.53,32.37,24.73,7.81,50.5,0,91.91,3.22,128.31,4.95,127.5,-999,-999,-999,0.3,0.48,0.49
1981,2,3,22.47,9.42,15.94,31.58,24.61,8.42,53.81,0,91.94,3.67,106.25,5.16,105.25,-999,-999,-999,0.28,0.48,0.49
1981,2,4,21.63,9.26,15.45,30.86,23.52,8.3,55.5,0,91.92,4.09,96.69,5.7,96.62,-999,-999,-999,0.27,0.48,0.49
1981,2,5,22.58,9.96,16.27,32.18,25.01,8.73,56,0,92.03,3.99,108.62,5.47,108.5,-999,-999,-999,0.27,0.48,0.48
1981,2,6,23.73,12.61,18.17,32.1,25.87,10.01,56,0,92.07,3.97,93.62,5.44,93.44,-999,-999,-999,0.27,0.48,0.48
1981,2,7,24.01,11.35,17.68,33.3,26.23,9.34,53.44,0,91.91,4.05,94.69,5.52,94.31,-999,-999,-999,0.26,0.48,0.48
1981,2,8,23.87,11.45,17.66,32.34,26.05,9.4,52.88,0,91.84,3.49,117.31,4.78,117.19,-999,-999,-999,0.25,0.48,0.48
1981,2,9,23.87,7.59,15.73,33.19,26.19,7.32,42.62,0,91.79,3.33,133.25,4.84,132.44,-999,-999,-999,0.24,0.48,0.48
1981,2,10,24.32,8.27,16.3,34.41,26.88,7.69,44.31,0,91.76,2.88,106.62,4.68,104.69,-999,-999,-999,0.23,0.48,0.48
1981,2,11,24.47,8.83,16.65,34.14,26.77,7.93,43.94,0,91.71,3.15,123.62,4.98,123.12,-999,-999,-999,0.23,0.48,0.48
1981,2,12,24.83,9.95,17.39,33.98,27.7,8.48,45.88,0,91.72,2.9,119.81,4.3,118.06,-999,-999,-999,0.22,0.48,0.48
1981,2,13,25.04,10.36,17.69,33.76,28.06,8.79,46.94,0,91.7,2.95,130,4.12,128.5,-999,-999,-999,0.22,0.48,0.48
1981,2,14,25.63,9.77,17.7,33.92,29.13,8.36,41.06,0,91.77,2.59,129.5,3.78,128.12,-999,-999,-999,0.21,0.48,0.48
1981,2,15,24.55,7.36,15.96,33.98,27.36,7.2,40.44,0,91.78,3.74,124.31,5.18,123.12,-999,-999,-999,0.2,0.48,0.48
1981,2,16,23.75,2.85,13.3,34.02,25.93,5.55,35.06,0,91.86,4.23,105.44,6.09,104.44,-999,-999,-999,0.2,0.48,0.48
1981,2,17,22.33,-0.1,11.12,33.24,24.17,4.58,32.94,0.62,91.92,4.09,116.69,6.27,116.12,-999,-999,-999,0.22,0.48,0.48
1981,2,18,22.14,-0.68,10.73,33.32,23.74,4.27,31,0.06,91.86,4.9,118.12,7.3,117.88,-999,-999,-999,0.21,0.48,0.48
1981,2,19,22.32,0.52,11.42,32.87,24.16,4.52,31.06,0,91.91,4.38,113.25,6.7,112.75,-999,-999,-999,0.2,0.48,0.48
1981,2,20,23.21,3.26,13.24,33.73,24.9,5.43,34.56,1.1,91.94,4.43,108.38,6.63,107.69,-999,-999,-999,0.24,0.48,0.48
1981,2,21,23.79,6.33,15.06,33.82,25.53,6.65,39.06,0,91.81,4.62,106.12,6.55,105.06,-999,-999,-999,0.23,0.48,0.48
1981,2,22,23.68,7.43,15.55,33.42,25.45,7.26,44,0,91.76,5.15,98.31,7.15,97.94,-999,-999,-999,0.22,0.48,0.48
1981,2,23,22.75,7.15,14.95,32.81,24.68,7.26,47.44,0,91.87,4.71,98.75,6.74,98.31,-999,-999,-999,0.22,0.48,0.48
1981,2,24,22.94,3.15,13.05,33.7,24.65,5.62,38.75,0,91.98,4.88,83.31,7.1,83.06,-999,-999,-999,0.21,0.48,0.48
1981,2,25,24.24,0.69,12.47,34.88,25.76,4.58,27.81,0,92.01,4.9,84.88,7.14,84.62,-999,-999,-999,0.2,0.48,0.48
1981,2,26,25.14,0.51,12.83,35.7,26.77,4.39,24.5,0,91.96,4.58,85.06,6.92,84.62,-999,-999,-999,0.2,0.48,0.48
1981,2,27,25.19,0.8,13,35.58,26.82,4.52,24.81,0,91.95,4.56,99.88,6.74,99.38,-999,-999,-999,0.19,0.48,0.48
1981,2,28,25.44,2.65,14.05,35.91,27.17,5.19,28.56,0,91.93,4.52,106.69,6.61,105.94,-999,-999,-999,0.18,0.48,0.48
1981,3,1,25.11,2.51,13.81,35.86,26.9,5.31,31.19,0.08,91.99,4.3,113.25,6.49,112,-999,-999,-999,0.18,0.48,0.48
1981,3,2,25.11,5.74,15.42,35.12,26.78,6.65,38.19,0,92.01,4.82,105.12,6.95,104.25,-999,-999,-999,0.17,0.48,0.48
1981,3,3,25.62,5.91,15.76,35.39,27.38,6.59,36.12,0,92.03,5.08,98.81,7.38,98.31,-999,-999,-999,0.17,0.48,0.48
1981,3,4,25.39,6.05,15.72,34.99,27.41,6.77,38.06,0,92.07,4.48,98.19,6.38,97.56,-999,-999,-999,0.16,0.48,0.48
1981,3,5,24.46,6.65,15.55,33.98,26.55,7.14,42.38,0,92.08,4.85,104.5,6.78,103.94,-999,-999,-999,0.16,0.48,0.48
1981,3,6,24.21,5.55,14.88,34.33,26.26,6.53,39,0.03,92.07,5.05,108.38,7.09,108.25,-999,-999,-999,0.16,0.48,0.48
1981,3,7,25.08,9.62,17.35,34.58,27.27,8.42,46.12,0,92.09,5.33,112.94,7.12,112.81,-999,-999,-999,0.16,0.48,0.48
1981,3,8,26.14,11.12,18.63,35.6,28.91,9.28,47.94,0,91.97,4.26,124.69,5.75,124.19,-999,-999,-999,0.16,0.48,0.48
1981,3,9,26.07,9.97,18.01,35.4,28.94,8.61,44.56,0.1,91.91,3.58,150.25,5.13,149.5,-999,-999,-999,0.16,0.48,0.48
1981,3,10,27.23,12.61,19.92,35.09,30.31,10.13,46.75,0.4,91.9,3.4,154.69,4.45,154.38,-999,-999,-999,0.16,0.48,0.48
1981,3,11,25.4,16.13,20.77,32.26,27.32,12.57,59.62,18.96,91.94,3.41,154.62,4.76,154.5,-999,-999,-999,0.42,0.49,0.49
1981,3,12,24.13,16.38,20.26,30.76,26.1,12.76,65.75,2.78,91.97,2.48,170.88,3.5,170.06,-999,-999,-999,0.52,0.51,0.5
1981,3,13,24.85,14.28,19.57,33.12,26.74,11.17,56.94,0.28,91.92,4.1,126.06,5.88,125.62,-999,-999,-999,0.48,0.51,0.5
1981,3,14,24.45,12.47,18.46,33.42,26.4,10.07,54.81,0,91.97,4.88,120.69,6.59,120.38,-999,-999,-999,0.46,0.5,0.5
1981,3,15,24.94,12.7,18.82,33.62,26.99,10.19,53.62,0.01,92.04,5.07,120.88,6.7,120.56,-999,-999,-999,0.45,0.5,0.5
1981,3,16,24.58,11.42,18.01,33.57,26.6,9.52,52.5,0,91.89,4.05,124.12,5.61,122.81,-999,-999,-999,0.43,0.49,0.5
1981,3,17,23.37,15.31,19.34,28.66,24.41,11.9,63.5,0.04,91.78,2.36,154.69,3.04,154.88,-999,-999,-999,0.41,0.49,0.49
1981,3,18,25.78,13.99,19.88,32.9,28.23,10.93,51.19,0.01,91.69,1.48,154.88,2.36,152.81,-999,-999,-999,0.4,0.49,0.49
1981,3,19,27.16,12.8,19.98,35.15,30,10.13,44.19,1.38,91.68,3.12,144.38,4.51,143.06,-999,-999,-999,0.38,0.48,0.49
1981,3,20,26.25,13.56,19.9,32.73,28.3,10.68,47.88,0.67,91.71,1.98,206.69,3.07,205.69,-999,-999,-999,0.4,0.49,0.49
1981,3,21,27.81,13.97,20.89,34.66,30.4,10.93,44.94,0,91.6,2.72,123.44,4.06,123.5,-999,-999,-999,0.36,0.48,0.49
1981,3,22,26.83,15.63,21.23,33.02,29.77,12.15,52.5,0.14,91.55,2.49,125,3.29,124.25,-999,-999,-999,0.34,0.48,0.49
1981,3,23,26.25,15.83,21.04,32.43,28.88,12.39,55.06,0.15,91.49,2.1,208.12,2.77,206.69,-999,-999,-999,0.32,0.48,0.49
1981,3,24,27.26,14.55,20.9,34.55,29.9,11.47,50.06,0.55,91.51,1.91,207.62,3.19,209.31,-999,-999,-999,0.31,0.48,0.49
1981,3,25,28.76,13.14,20.95,35.86,32.2,10.5,41.88,0.14,91.51,1.45,203.25,2.37,210.5,-999,-999,-999,0.3,0.48,0.49
1981,3,26,27.07,16.19,21.62,33.46,29.45,12.63,53.69,6.59,91.56,3.12,162.88,4.87,163.94,-999,-999,-999,0.39,0.49,0.49
1981,3,27,24.83,18.06,21.44,30.02,26.16,14.22,67.75,38.02,91.59,2.36,159.94,3.86,157.88,-999,-999,-999,0.66,0.53,0.52
1981,3,28,25.33,16.33,20.83,32.48,27.22,12.76,61.69,0.05,91.61,2.64,139.19,4.18,138.62,-999,-999,-999,0.53,0.55,0.53
1981,3,29,26.18,13.17,19.68,34.43,28.02,10.44,49.25,0.01,91.7,3.56,138.38,5.52,137.06,-999,-999,-999,0.49,0.54,0.53
1981,3,30,25.59,12.32,18.95,34.89,27.52,9.89,49.56,0,91.69,2.83,133.19,4.67,131.12,-999,-999,-999,0.48,0.53,0.52
1981,3,31,26.52,14.08,20.3,34.8,29,11.05,50.44,0,91.57,2.39,148.88,3.95,149.69,-999,-999,-999,0.48,0.52,0.52
1981,4,1,28.15,16.23,22.19,35.18,30.83,12.7,51.62,0.03,91.5,2.07,207.31,3.23,205,-999,-999,-999,0.47,0.52,0.52
1981,4,2,28.41,17.15,22.79,34.97,30.6,13.49,53.38,0.45,91.64,2.45,182.25,3.69,167.38,-999,-999,-999,0.47,0.52,0.52
1981,4,3,28.74,16.48,22.61,35.68,30.76,12.94,51.12,0,91.64,2.95,141.75,4.38,139.44,-999,-999,-999,0.46,0.51,0.52
1981,4,4,27.94,16.81,22.37,34.87,30.06,13.18,53.94,0,91.57,1.98,195.69,3.01,197.62,-999,-999,-999,0.45,0.51,0.51
1981,4,5,28.74,16.25,22.5,34.87,31.09,12.7,49.31,0,91.49,1.95,177.88,3.3,176.69,-999,-999,-999,0.44,0.5,0.51
1981,4,6,28.96,16.26,22.61,35.22,31.41,12.7,48.88,0,91.54,2.12,173.06,3.52,161.06,-999,-999,-999,0.43,0.5,0.51
1981,4,7,28.43,14.22,21.33,36.12,30.26,11.17,45.31,0,91.54,3.5,136.81,5.38,135.25,-999,-999,-999,0.41,0.49,0.5
1981,4,8,27.98,10.07,19.02,37.01,30.19,8.54,37.06,0,91.56,4.3,125.25,6.16,122.75,-999,-999,-999,0.4,0.49,0.5
1981,4,9,27.54,6.56,17.05,38.17,29.27,6.77,32.12,0,91.55,4.32,105.12,6.56,103.38,-999,-999,-999,0.38,0.49,0.5
1981,4,10,27.79,4.13,15.96,38.34,29.2,5.74,27.06,0,91.49,4.3,99,6.3,97.5,-999,-999,-999,0.35,0.48,0.5
1981,4,11,27.55,7.74,17.65,38.23,29.26,7.39,34.94,0,91.48,4.53,117.69,6.49,116.38,-999,-999,-999,0.33,0.48,0.49
1981,4,12,27.9,12.52,20.21,37.54,30.08,10.31,47.88,0,91.54,4.72,123.88,6.75,122.62,-999,-999,-999,0.32,0.48,0.49
1981,4,13,28.52,10.91,19.72,37.99,30.6,9.52,43.44,0,91.59,4.01,136.94,5.99,135.5,-999,-999,-999,0.3,0.48,0.49
1981,4,14,29.76,11.59,20.68,38.76,32.08,9.52,37.94,0.05,91.52,2.44,156,3.7,157.44,-999,-999,-999,0.3,0.48,0.49
1981,4,15,29.8,16.17,22.98,38.4,32.35,12.76,48.88,2.35,91.53,3.41,266.81,4.75,269.56,-999,-999,-999,0.31,0.48,0.49
1981,4,16,29.46,16.4,22.94,37.96,31.97,13.12,52.25,4.56,91.53,3.05,241.12,4.23,242.12,-999,-999,-999,0.41,0.49,0.49
1981,4,17,29.21,16.38,22.8,37.44,31.5,12.94,51.56,0.08,91.49,2.71,237.38,4.05,238.88,-999,-999,-999,0.44,0.49,0.49
1981,4,18,29.02,17.41,23.22,35.46,31.22,13.67,52.62,0.83,91.63,2.82,214.44,3.9,215,-999,-999,-999,0.4,0.49,0.49
1981,4,19,29.34,16.04,22.69,36.86,31.73,12.51,48.06,0,91.74,2.63,205.12,4.07,205.12,-999,-999,-999,0.38,0.48,0.49
1981,4,20,29.65,15.4,22.52,37.54,31.97,12.15,46.44,0.15,91.72,2.89,220.38,4.18,220.62,-999,-999,-999,0.34,0.48,0.49
1981,4,21,29.86,14.15,22,37.85,32.15,11.17,43.25,0,91.59,3.29,245.06,4.17,245.44,-999,-999,-999,0.32,0.48,0.49
1981,4,22,29.69,14.36,22.02,37.13,31.9,11.35,43,1.96,91.56,3.63,231.31,5.09,231.94,-999,-999,-999,0.33,0.48,0.49
1981,4,23,29.87,14.25,22.06,36.77,32.37,11.23,41.38,0.8,91.62,2.77,171.88,4.19,169.81,-999,-999,-999,0.35,0.48,0.49
1981,4,24,28.55,10.84,19.7,36.22,30.76,8.97,36.81,0.31,91.8,3.22,140.75,4.98,140.44,-999,-999,-999,0.34,0.48,0.49
1981,4,25,28.92,11.2,20.06,37.01,31.79,9.16,37.69,0.03,91.76,3.26,135.06,4.72,133.62,-999,-999,-999,0.31,0.48,0.49
1981,4,26,28.46,12.33,20.4,36.19,31.42,9.83,40.25,1.69,91.74,3.23,142.19,4.63,140.69,-999,-999,-999,0.3,0.48,0.49
1981,4,27,28.57,10.76,19.66,37.09,31.2,8.97,37.75,0.03,91.72,3.9,125.75,5.57,124.56,-999,-999,-999,0.33,0.48,0.49
1981,4,28,28.48,10.53,19.5,37.14,31.26,8.85,38.12,0.04,91.68,3.56,135.38,5.34,134.19,-999,-999,-999,0.3,0.48,0.49
1981,4,29,28.79,14.74,21.76,36.19,31.73,11.6,45.06,4.45,91.58,2.23,192.12,3.12,194.25,-999,-999,-999,0.34,0.48,0.49
1981,4,30,25.87,18.71,22.3,29.56,27.08,14.77,65.81,3.11,91.68,2.12,194.25,3.29,194.5,-999,-999,-999,0.48,0.49,0.49
1981,5,1,27.37,16.76,22.06,34.34,29.65,13.12,56.5,0.02,91.81,2.85,117.31,4.3,116.56,-999,-999,-999,0.44,0.49,0.49
1981,5,2,27.86,15.89,21.87,34.9,30.01,12.45,52.31,0,91.77,2.11,132.31,3.12,128.56,-999,-999,-999,0.39,0.49,0.49
1981,5,3,27.79,15.32,21.55,33.92,29.92,11.96,48.88,1.74,91.66,1.54,211.06,2.54,184,-999,-999,-999,0.38,0.48,0.49
1981,5,4,26.57,17.65,22.11,32.3,28.81,13.85,60.75,1.67,91.68,1.58,230.44,2.18,227.5,-999,-999,-999,0.42,0.49,0.49
1981,5,5,25.33,18.66,22,30.64,26.85,14.77,68.38,17.68,91.64,2.1,284.94,2.66,286,-999,-999,-999,0.55,0.5,0.5
1981,5,6,24.38,19.33,21.86,28.85,25.26,15.38,75,17.06,91.5,2.79,261.38,4.05,262.81,-999,-999,-999,0.64,0.54,0.52
1981,5,7,25.69,19.05,22.37,31.24,26.93,15.14,69.81,0.64,91.41,2.95,201.19,4.12,201.62,-999,-999,-999,0.52,0.54,0.52
1981,5,8,25.23,18.87,22.05,29.51,25.91,14.95,69.31,0.47,91.37,2.34,224.38,3.22,224.88,-999,-999,-999,0.5,0.53,0.52
1981,5,9,25.55,19.31,22.43,29.98,26.71,15.44,70.38,8.79,91.39,1.8,272.25,2.47,273.81,-999,-999,-999,0.55,0.53,0.52
1981,5,10,24.48,20.04,22.26,29.19,25.36,16.11,77.88,20.34,91.38,1.83,222.31,2.57,222.06,-999,-999,-999,0.66,0.55,0.54
1981,5,11,24.4,20.35,22.37,28.86,24.94,16.42,79.81,3.62,91.34,1.81,179.94,2.42,180.94,-999,-999,-999,0.59,0.57,0.55
1981,5,12,25.25,18.11,21.68,31.46,26.64,14.34,67.81,0.2,91.42,3.06,253.75,4.13,254,-999,-999,-999,0.53,0.56,0.55
1981,5,13,25.59,18.4,22,31.8,26.67,14.53,67.19,0,91.38,2.91,201.94,4.19,202.31,-999,-999,-999,0.52,0.55,0.55
1981,5,14,26.62,18.31,22.46,33.26,28.68,14.47,63.62,0,91.47,3.12,280.75,4.27,283.88,-999,-999,-999,0.51,0.55,0.55
1981,5,15,26.74,18.05,22.39,34.06,28.42,14.22,62.56,0.12,91.42,4.52,301.25,6.2,301.94,-999,-999,-999,0.5,0.54,0.54
1981,5,16,26.1,19.06,22.58,33.08,27.4,15.14,68.19,2.96,91.32,5.02,294.81,6.73,295.31,-999,-999,-999,0.52,0.54,0.54
1981,5,17,26,19.17,22.58,31.48,27.12,15.26,68.69,0.02,91.4,4.18,290.5,5.62,291.31,-999,-999,-999,0.51,0.54,0.54
1981,5,18,26.83,18.32,22.58,33.84,28.08,14.47,63,0.25,91.46,5.56,292.56,7.29,293.31,-999,-999,-999,0.49,0.53,0.54
